school,year,sport,previous_year_rank,record_wins,record_losses,conference_champion,national_champion,application_change,acceptance_rate
clemson,2008,Football,,,,,,,
clemson,2009,Football,,,,,,,
clemson,2010,Football,,,,,,,
clemson,2011,Football,,,,,,,
clemson,2012,Football,,,,,,,
clemson,2013,Football,,,,,,,
clemson,2014,Football,,,,,,,
clemson,2015,Football,,,,,,,
clemson,2016,Football,,,,,,,
clemson,2017,Football,,,,,,,
clemson,2018,Football,,,,,,,
boise_state,2008,Football,,,,,,,
boise_state,2009,Football,,,,,,,
boise_state,2010,Football,,,,,,,
boise_state,2011,Football,,,,,,,
boise_state,2012,Football,,,,,,,
boise_state,2013,Football,,,,,,,
boise_state,2014,Football,,,,,,,
boise_state,2015,Football,,,,,,,
boise_state,2016,Football,,,,,,,
boise_state,2017,Football,,,,,,,
boise_state,2018,Football,,,,,,,
oregon,2008,Football,,,,,,,
oregon,2009,Football,,,,,,,
oregon,2010,Football,,,,,,,
oregon,2011,Football,,,,,,,
oregon,2012,Football,,,,,,,
oregon,2013,Football,,,,,,,
oregon,2014,Football,,,,,,,
oregon,2015,Football,,,,,,,
oregon,2016,Football,,,,,,,
oregon,2017,Football,,,,,,,
oregon,2018,Football,,,,,,,
fsu,2008,Football,,,,,,,
fsu,2009,Football,,,,,,,
fsu,2010,Football,,,,,,,
fsu,2011,Football,,,,,,,
fsu,2012,Football,,,,,,,
fsu,2013,Football,,,,,,,
fsu,2014,Football,,,,,,,
fsu,2015,Football,,,,,,,
fsu,2016,Football,,,,,,,
fsu,2017,Football,,,,,,,
fsu,2018,Football,,,,,,,
usc,2008,Football,,,,,,,
usc,2009,Football,,,,,,,
usc,2010,Football,,,,,,,
usc,2011,Football,,,,,,,
usc,2012,Football,,,,,,,
usc,2013,Football,,,,,,,
usc,2014,Football,,,,,,,
usc,2015,Football,,,,,,,
usc,2016,Football,,,,,,,
usc,2017,Football,,,,,,,
usc,2018,Football,,,,,,,
florida,2008,Football,,,,,,,
florida,2009,Football,,,,,,,
florida,2010,Football,,,,,,,
florida,2011,Football,,,,,,,
florida,2012,Football,,,,,,,
florida,2013,Football,,,,,,,
florida,2014,Football,,,,,,,
florida,2015,Football,,,,,,,
florida,2016,Football,,,,,,,
florida,2017,Football,,,,,,,
florida,2018,Football,,,,,,,
oklahoma,2008,Football,,,,,,,
oklahoma,2009,Football,,,,,,,
oklahoma,2010,Football,,,,,,,
oklahoma,2011,Football,,,,,,,
oklahoma,2012,Football,,,,,,,
oklahoma,2013,Football,,,,,,,
oklahoma,2014,Football,,,,,,,
oklahoma,2015,Football,,,,,,,
oklahoma,2016,Football,,,,,,,
oklahoma,2017,Football,,,,,,,
oklahoma,2018,Football,,,,,,,
lsu,2008,Football,,,,,,,
lsu,2009,Football,,,,,,,
lsu,2010,Football,,,,,,,
lsu,2011,Football,,,,,,,
lsu,2012,Football,,,,,,,
lsu,2013,Football,,,,,,,
lsu,2014,Football,,,,,,,
lsu,2015,Football,,,,,,,
lsu,2016,Football,,,,,,,
lsu,2017,Football,,,,,,,
lsu,2018,Football,,,,,,,
osu,2008,Football,,,,,,,
osu,2009,Football,,,,,,,
osu,2010,Football,,,,,,,
osu,2011,Football,,,,,,,
osu,2012,Football,,,,,,,
osu,2013,Football,,,,,,,
osu,2014,Football,,,,,,,
osu,2015,Football,,,,,,,
osu,2016,Football,,,,,,,
osu,2017,Football,,,,,,,
osu,2018,Football,,,,,,,
alabama,2008,Football,,,,,,,
alabama,2009,Football,,,,,,,
alabama,2010,Football,,,,,,,
alabama,2011,Football,,,,,,,
alabama,2012,Football,,,,,,,
alabama,2013,Football,,,,,,,
alabama,2014,Football,,,,,,,
alabama,2015,Football,,,,,,,
alabama,2016,Football,,,,,,,
alabama,2017,Football,,,,,,,
alabama,2018,Football,,,,,,,
michigan,2008,Football,,,,,,,
michigan,2009,Football,,,,,,,
michigan,2010,Football,,,,,,,
michigan,2011,Football,,,,,,,
michigan,2012,Football,,,,,,,
michigan,2013,Football,,,,,,,
michigan,2014,Football,,,,,,,
michigan,2015,Football,,,,,,,
michigan,2016,Football,,,,,,,
michigan,2017,Football,,,,,,,
michigan,2018,Football,,,,,,,
auburn,2005,Football,,,,,,,
auburn,2006,Football,,,,,,,
auburn,2007,Football,,,,,,,
auburn,2008,Football,,,,,,,
auburn,2009,Football,,,,,,,
auburn,2010,Football,,,,,,,
auburn,2011,Football,,,,,,,
auburn,2012,Football,,,,,,,
auburn,2013,Football,,,,,,,
auburn,2014,Football,,,,,,,
auburn,2015,Football,,,,,,,
arizona,2008,Basketball,,,,,,,
arizona,2009,Basketball,,,,,,,
arizona,2010,Basketball,,,,,,,
arizona,2011,Basketball,,,,,,,
arizona,2012,Basketball,,,,,,,
arizona,2013,Basketball,,,,,,,
arizona,2014,Basketball,,,,,,,
arizona,2015,Basketball,,,,,,,
arizona,2016,Basketball,,,,,,,
arizona,2017,Basketball,,,,,,,
arizona,2018,Basketball,,,,,,,
louisville,2008,Basketball,,,,,,,
louisville,2009,Basketball,,,,,,,
louisville,2010,Basketball,,,,,,,
louisville,2011,Basketball,,,,,,,
louisville,2012,Basketball,,,,,,,
louisville,2013,Basketball,,,,,,,
louisville,2014,Basketball,,,,,,,
louisville,2015,Basketball,,,,,,,
louisville,2016,Basketball,,,,,,,
louisville,2017,Basketball,,,,,,,
louisville,2018,Basketball,,,,,,,
mich_state,2008,Basketball,,,,,,,
mich_state,2009,Basketball,,,,,,,
mich_state,2010,Basketball,,,,,,,
mich_state,2011,Basketball,,,,,,,
mich_state,2012,Basketball,,,,,,,
mich_state,2013,Basketball,,,,,,,
mich_state,2014,Basketball,,,,,,,
mich_state,2015,Basketball,,,,,,,
mich_state,2016,Basketball,,,,,,,
mich_state,2017,Basketball,,,,,,,
mich_state,2018,Basketball,,,,,,,
syracuse,2008,Basketball,,,,,,,
syracuse,2009,Basketball,,,,,,,
syracuse,2010,Basketball,,,,,,,
syracuse,2011,Basketball,,,,,,,
syracuse,2012,Basketball,,,,,,,
syracuse,2013,Basketball,,,,,,,
syracuse,2014,Basketball,,,,,,,
syracuse,2015,Basketball,,,,,,,
syracuse,2016,Basketball,,,,,,,
syracuse,2017,Basketball,,,,,,,
syracuse,2018,Basketball,,,,,,,
florida,2008,Basketball,,,,,,,
florida,2009,Basketball,,,,,,,
florida,2010,Basketball,,,,,,,
florida,2011,Basketball,,,,,,,
florida,2012,Basketball,,,,,,,
florida,2013,Basketball,,,,,,,
florida,2014,Basketball,,,,,,,
florida,2015,Basketball,,,,,,,
florida,2016,Basketball,,,,,,,
florida,2017,Basketball,,,,,,,
florida,2018,Basketball,,,,,,,
uconn,2008,Basketball,,,,,,,
uconn,2009,Basketball,,,,,,,
uconn,2010,Basketball,,,,,,,
uconn,2011,Basketball,,,,,,,
uconn,2012,Basketball,,,,,,,
uconn,2013,Basketball,,,,,,,
uconn,2014,Basketball,,,,,,,
uconn,2015,Basketball,,,,,,,
uconn,2016,Basketball,,,,,,,
uconn,2017,Basketball,,,,,,,
uconn,2018,Basketball,,,,,,,
kentucky,2008,Basketball,,,,,,,
kentucky,2009,Basketball,,,,,,,
kentucky,2010,Basketball,,,,,,,
kentucky,2011,Basketball,,,,,,,
kentucky,2012,Basketball,,,,,,,
kentucky,2013,Basketball,,,,,,,
kentucky,2014,Basketball,,,,,,,
