,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
1,Air Force,MWC,8,5,.615,26.8,22.2,,,
2,Akron,MAC (East),5,7,.417,30.0,31.3,,,
3,Alabama,SEC (West),12,2,.857,30.1,14.3,24,1,6
4,Arizona,Pac-10,8,5,.615,36.6,21.3,,,
5,Arizona State,Pac-10,5,7,.417,22.8,22.7,15,15,
6,Arkansas,SEC (West),5,7,.417,21.9,31.2,,,
7,Arkansas State,Sun Belt,6,6,.500,27.0,23.8,,,
8,Army,Ind,3,9,.250,14.8,23.7,,,
9,Auburn,SEC (West),5,7,.417,17.3,18.0,10,9,
10,Ball State,MAC (West),12,2,.857,34.9,20.5,,12,
11,Baylor,Big 12 (South),4,8,.333,28.0,29.3,,,
12,Boise State,WAC,12,1,.923,37.6,12.6,,9,11
13,Boston College,ACC (Atlantic),9,5,.643,24.7,18.4,,18,
14,Bowling Green State,MAC (East),6,6,.500,27.7,23.2,,,
15,Brigham Young,MWC,10,3,.769,34.2,21.9,16,8,25
16,Buffalo,MAC (East),8,6,.571,30.3,28.2,,,
17,California,Pac-10,9,4,.692,32.6,19.9,,21,
18,Central Michigan,MAC (West),8,5,.615,29.5,30.2,,,
19,Cincinnati,Big East,11,3,.786,25.9,20.1,,12,17
20,Clemson,ACC (Atlantic),7,6,.538,25.2,17.3,9,9,
21,Colorado,Big 12 (North),5,7,.417,20.2,29.3,,,
22,Colorado State,MWC,7,6,.538,25.2,30.2,,,
23,Connecticut,Big East,8,5,.615,24.9,19.8,,24,
24,Duke,ACC (Coastal),4,8,.333,20.1,23.4,,,
25,East Carolina,CUSA (East),9,5,.643,23.4,21.1,,14,
26,Eastern Michigan,MAC (West),3,9,.250,25.8,35.6,,,
27,Florida,SEC (East),13,1,.929,43.6,12.9,5,1,1
28,Florida Atlantic,Sun Belt,7,6,.538,25.1,28.7,,,
29,Florida International,Sun Belt,5,7,.417,24.7,28.3,,,
30,Florida State,ACC (Atlantic),9,4,.692,33.4,20.2,,16,21
31,Fresno State,WAC,7,6,.538,29.6,31.1,,21,
32,Georgia,SEC (East),10,3,.769,31.5,24.5,1,1,13
33,Georgia Tech,ACC (Coastal),9,4,.692,24.4,20.3,,14,22
34,Hawaii,WAC,7,7,.500,24.6,28.9,,,
35,Houston,CUSA (West),8,5,.615,40.6,30.9,,,
36,Idaho,WAC,2,10,.167,19.6,42.8,,,
37,Illinois,Big Ten,5,7,.417,28.7,26.6,20,20,
38,Indiana,Big Ten,3,9,.250,20.5,35.3,,,
39,Iowa,Big Ten,9,4,.692,30.3,13.0,,20,20
40,Iowa State,Big 12 (North),2,10,.167,25.3,35.8,,,
41,Kansas,Big 12 (North),8,5,.615,33.4,28.8,14,13,
42,Kansas State,Big 12 (North),5,7,.417,34.9,35.8,,,
43,Kent State,MAC (East),4,8,.333,25.7,31.7,,,
44,Kentucky,SEC (East),7,6,.538,22.6,21.5,,,
45,Louisiana,Sun Belt,6,6,.500,33.1,33.7,,,
46,Louisiana Tech,WAC,8,5,.615,24.6,23.7,,,
47,Louisiana-Monroe,Sun Belt,4,8,.333,23.7,31.2,,,
48,Louisville,Big East,5,7,.417,24.7,29.8,,,
49,LSU,SEC (West),8,5,.615,30.9,24.2,7,3,
50,Marshall,CUSA (East),4,8,.333,20.5,27.7,,,
51,Maryland,ACC (Atlantic),8,5,.615,21.8,22.5,,22,
52,Memphis,CUSA (East),6,7,.462,27.2,27.2,,,
53,Miami (FL),ACC (Coastal),7,6,.538,27.1,24.2,,23,
54,Miami (OH),MAC (East),2,10,.167,18.4,32.7,,,
55,Michigan,Big Ten,3,9,.250,20.3,28.9,,,
56,Michigan State,Big Ten,9,4,.692,25.1,22.1,,17,24
57,Middle Tennessee State,Sun Belt,5,7,.417,22.8,24.9,,,
58,Minnesota,Big Ten,7,6,.538,23.2,24.8,,20,
59,Mississippi State,SEC (West),4,8,.333,15.3,24.7,,,
60,Missouri,Big 12 (North),10,4,.714,42.2,27.2,6,3,19
61,Navy,Ind,8,5,.615,27.2,22.0,,,
62,Nebraska,Big 12 (North),9,4,.692,35.4,28.5,,,
63,Nevada,WAC,7,6,.538,37.6,32.3,,,
64,Nevada-Las Vegas,MWC,5,7,.417,25.6,32.6,,,
65,New Mexico,MWC,4,8,.333,21.1,22.8,,,
66,New Mexico State,WAC,3,9,.250,22.2,34.1,,,
67,North Carolina,ACC (Coastal),8,5,.615,27.7,21.2,,17,
68,North Carolina State,ACC (Atlantic),6,7,.462,23.5,26.3,,,
69,North Texas,Sun Belt,1,11,.083,20.0,47.6,,,
70,Northern Illinois,MAC (West),6,7,.462,24.2,18.0,,,
71,Northwestern,Big Ten,9,4,.692,24.4,20.2,,22,
72,Notre Dame,Ind,7,6,.538,24.7,22.2,,,
73,Ohio,MAC (East),4,8,.333,24.1,27.3,,,
74,Ohio State,Big Ten,10,3,.769,27.6,13.9,2,2,9
75,Oklahoma,Big 12 (South),12,2,.857,51.1,24.5,4,1,5
76,Oklahoma State,Big 12 (South),9,4,.692,40.8,28.1,,7,16
77,Ole Miss,SEC (West),9,4,.692,32.1,19.0,,14,14
78,Oregon,Pac-10,10,3,.769,41.9,28.2,21,10,10
79,Oregon State,Pac-10,9,4,.692,30.5,23.1,,17,18
80,Penn State,Big Ten,11,2,.846,38.9,14.4,22,3,8
81,Pitt,Big East,9,4,.692,27.1,21.5,25,17,
82,Purdue,Big Ten,4,8,.333,24.7,25.1,,,
83,Rice,CUSA (West),10,3,.769,41.3,33.3,,,
84,Rutgers,Big East,8,5,.615,29.0,18.8,,,
85,San Diego State,MWC,2,10,.167,19.3,37.2,,,
86,San Jose State,WAC,6,6,.500,18.7,21.6,,,
87,SMU,CUSA (West),1,11,.083,21.3,38.2,,,
88,South Carolina,SEC (East),7,6,.538,20.8,21.1,,24,
89,South Florida,Big East,8,5,.615,27.6,20.0,19,10,
90,Southern Mississippi,CUSA (East),7,6,.538,30.6,24.1,,,
91,Stanford,Pac-10,5,7,.417,26.3,27.4,,,
92,Syracuse,Big East,3,9,.250,18.1,32.7,,,
93,Temple,MAC (East),5,7,.417,23.4,23.1,,,
94,Tennessee,SEC (East),5,7,.417,17.3,16.8,18,18,
95,Texas,Big 12 (South),12,1,.923,42.4,18.8,11,1,4
96,Texas A&M,Big 12 (South),4,8,.333,25.0,37.4,,,
97,Texas Christian,MWC,11,2,.846,33.6,11.3,,7,7
98,Texas Tech,Big 12 (South),11,2,.846,43.8,27.8,12,2,12
99,Toledo,MAC (West),3,9,.250,22.4,31.4,,,
100,Troy,Sun Belt,8,5,.615,32.8,21.3,,,
101,Tulane,CUSA (West),2,10,.167,16.7,34.5,,,
102,Tulsa,CUSA (West),11,3,.786,47.2,27.9,,19,
103,UAB,CUSA (East),4,8,.333,22.8,31.3,,,
104,UCF,CUSA (East),4,8,.333,16.6,24.1,,,
105,UCLA,Pac-10,4,8,.333,17.7,29.0,,23,
106,USC,Pac-10,12,1,.923,37.5,9.0,3,1,3
107,Utah,MWC,13,0,1.000,36.9,17.2,,2,2
